Id,Date,latitude,longitude,PK_SiteClass,ClassName,SiteName,Description,FK_Site,Elevation
76,x10/17/2020,31.35034515,-110.3010665,38a1ef37-e6cb-494e-b738-23ce16033b57,Eighty Pasture,03-05-03-00326-032-C02,From Shapefile,c7228402-aa60-4a37-8adf-6517dd248c1b,
77,x10/17/2020,31.88346553,-110.3882343,5fdba12f-3cf5-44cc-8970-249f82e3e322,Dolphin Pasture,03-05-03-00303-003-C04,From Shapefile,659aeb4b-fe72-4a4d-ad8c-26e9f1a3f63a,5059
78,x5/17/2018,31.80304973,-110.7400399,d412aa4b-83be-4ad8-a582-24d8c0bb722b,South Basin Pasture,03-05-02-00236-012-C02,,3dd059b1-007c-4e99-a62a-89dcbb2847aa,5636
79,x10/17/2020,32.26210557,-110.4896386,c63bd5c0-c55e-464d-a542-25cc60eecb90,Spierson Pasture,03-05-05-00516-003-C03,From Event Notes,f050570d-179c-48c0-b936-ee8d013eb572,4370
80,x9/22/2020,31.88428985,-109.3137953,05cb77a6-5f5e-400a-bc47-262ad83ef5f7,Upper Turkey Creek Pasture,03-05-01-00106-605-C01,From Shapefile,0729fce1-4e7f-4a73-9252-367af4aff8e7,
81,x9/22/2020,31.87591805,-109.3522353,05cb77a6-5f5e-400a-bc47-262ad83ef5f7,Upper Turkey Creek Pasture,03-05-01-00106-605-C02,From Shapefile,98b8cb1e-7ca1-42ea-ae31-52a2d486a4a4,
82,x9/22/2020,31.85929636,-109.3392776,05cb77a6-5f5e-400a-bc47-262ad83ef5f7,Upper Turkey Creek Pasture,03-05-01-00106-605-C04,From Shapefile,fd8acec8-40d4-4b93-ab10-16ffc2e18935,
83,x9/23/2020,31.50349484,-111.3904229,1d71b12e-5962-46e0-9d97-274179f5d041,Alamito Pasture,03-05-02-00203-004-C05,From Site Notes,cc9db262-7772-471e-a1ef-e09b80a4cee2,4222
84,x9/22/2011,32.54700684,-109.7461426,aedde958-513c-49e7-aacf-276c3db9b629,Lower Home Pasture,03-05-04-00418-18K-K01,,fe8f5be2-09b9-4a80-bf08-7f879e092191,4609
85,x11/1/2010,31.33631687,-110.5365388,fe3559e3-1bb6-4c86-a78f-276e98ac53f9,Mesa Pasture,03-05-03-00321-002-C01,,0fd42dae-9a6d-4272-b9fe-d25bc0578015,4920
86,x10/17/2020,32.30644109,-110.5763553,2d616d1e-f018-4efe-a94c-2834df518471,White Pasture,03-05-05-00502-009-C02,From Site Notes,f1a422e7-0fb3-4b65-840e-66dc3a11b824,
87,x10/17/2020,32.29639342,-110.5716119,2d616d1e-f018-4efe-a94c-2834df518471,White Pasture,03-05-05-00502-009-C09,From Shapefile,1e0c921c-8507-499e-93e7-a78c5b0e6a83,
88,x9/24/2013,31.56537305,-110.5846829,70a85340-8d0f-4cf6-b59e-28570b5f10d0,Reata Pasture,03-05-03-00334-012-C02,,1ebf0d97-048d-4feb-b44f-c01fc2dec09a,
89,x9/19/2020,31.95137049,-110.0408977,48d0394b-7ac0-4e51-8216-288b44e61c04,Lower Forest Pasture,03-05-01-00153-532-C02,From Shapefile,5c62a1e7-0234-4310-822c-156e271a67bd,
90,x9/19/2020,31.94874868,-110.0353913,48d0394b-7ac0-4e51-8216-288b44e61c04,Lower Forest Pasture,03-05-01-00153-532-C03,From Shapefile,9094452d-43a7-4d5c-9d8d-cfa6ccd2bdfb,
91,x10/10/2012,31.88449721,-110.4138048,f1245b46-afb3-4ad6-a72f-29188f04273d,Mountain Pasture,03-05-03-00302-004-C03,,4d73a6e5-af9a-41e8-bd11-2a142f0e32b1,
92,x10/16/2020,32.72923965,-110.3727915,7ca31ef1-532b-4d37-a665-298e8cec3e20,Peach Orchard Pasture,03-05-04-00426-26E-K01,From Shapefile,41354bca-71f1-40b3-98a8-bbc1eb415b96,
93,x10/18/2020,31.48442828,-110.48858,05b99450-39a1-47ec-817b-2a5bc5b6603d,Becker Pasture,03-05-03-00339-007-C02,,274b5252-77b2-473a-8081-4903a0a5c271,
94,x9/21/2020,31.62383837,-109.3409342,1d92e5a3-893f-43b6-b440-2c27f89d3ba9,Buck Creek Pasture,03-05-01-00125-254-C05,From Site Notes,8d642da8-7fcd-4313-a3c6-cd9be12f58e7,5677
95,x10/16/2020,32.91484546,-110.2339259,0ed1971c-67ac-4f29-8171-2c3cfe28524c,Upper Forest Pasture,03-05-04-00404-04A-K01,From Shapefile,9b03ac82-ca5b-4f06-87c4-4069cd5cdb5c,
96,x10/17/2020,31.52849354,-110.4730457,b0ceff3b-6634-419b-992c-2c43c65daac7,Weaner Pasture,03-05-03-00327-009-C01,From shapefile,432a8b1d-a500-4cfa-93e0-b330bc50f2f9,
97,x9/19/2011,32.55777194,-109.7684558,4cba4a54-9256-47dc-89c9-2d1dd91bd66d,Cienega Pasture,03-05-04-00417-17B-K01,,1bb1cd1a-0020-41fa-93c1-ed708ee4680c,
